course_id,yards_from_pin,into_hole
14900,377.04,0
14900,202.65,0
14900,301.73,0
14900,456.23,0
14900,406.89,0
14900,25.25,0
14900,12.68,0
14900,481.52,0
14900,336.76,0
14900,16.91,0
14900,253.89,0
14900,374.8,0
14900,156.3,0
14900,200.72,0
14900,172.25,0
14900,449.3,0
14900,507.57,0
14900,516.87,0
14900,302.4,0
14900,342.04,0
14900,377.79,0
14900,18.2,0
14900,238.83,0
14900,292.91,0
14900,854.05,0
14900,287.11,0
14900,255.74,0
14900,21.24,0
14900,6.39,0
14900,478.45,0
14900,854.05,0
14900,4.17,0
14900,88.77,0
14900,247.08,0
14900,461.29,0
14900,99.47,0
14900,318.71,0
14900,283.63,0
14900,29.56,0
14900,52.73,0
14900,403.08,0
14900,321.29,0
14900,261.47,0
14900,485.86,0
14900,320.16,0
14900,484.87,0
14900,419.84,0
14900,262.24,0
14900,387,0
14900,515.03,0
14900,93.97,0
14900,217.29,0
14900,254.05,0
14900,370.4,0
14900,99.84,0
14900,238.12,0
14900,324.58,0
14900,355.03,0
14900,424.7,0
14900,77.99,0
14900,325.78,0
